Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,BENDORA,5,Agriculture,1,0,0,5
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,BORDA,5,Agriculture,4,0,0,20
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,CHICHPALLY  ( SONAPUR ),5,Agriculture,18,0,0,90
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,CHINCHUPALLY,5,Agriculture,12,0,0,60
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,GATJANGAM,5,Agriculture,1,0,0,5
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MANIKYAPUR,5,Agriculture,8,0,0,40
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MARKAGUDA,5,Agriculture,3,0,0,15
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,MULKALAMANDA,5,Agriculture,7,0,0,35
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,NOWGHAD,5,Agriculture,3,0,0,15
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,PANGADIMADHIRA,5,Agriculture,79,0,0,395
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,RALLAKANNEPALLY,5,Agriculture,18,0,0,90
ASIFABAD,ASIFABAD,ASIFABAD RURAL,THIRYANI,ROMPALLY,5,Agriculture,18,0,0,90
